Search,Replace,Wildcard,MatchCase,MatchWholeWord,MatchKashida,MatchDiacritics,MatchAlefHamza,CounterUp
ي,ی,0,1,1,0,0,0,1
^wمی , می^o,0,1,1,0,0,0,1
 می , می^o,0,1,1,0,0,0,1
 نمی , نمی^o,0,1,1,0,0,0,1
,,,,,,,,
 ای ,^oای ,0,1,1,0,0,0,1
,,,,,,,,
 اند ,^oاند ,0,1,1,0,0,0,1
 اید ,^oاید ,0,1,1,0,0,0,1
,,,,,,,,
 اند.,^oاند.,0,1,1,0,0,0,1
 اید.,^oاید.,0,1,1,0,0,0,1
" اند،","^oاند،",0,1,1,0,0,0,1
" اید،","^oاید،",0,1,1,0,0,0,1
,,,,,,,,
 ها ,^oها ,0,1,1,0,0,0,1
 هایی ,^oهایی ,0,1,1,0,0,0,1
,,,,,,,,
ههای,ه^oهای,0,1,1,0,0,0,1
,,,,,,,,
 های ,^oهای ,0,1,1,0,0,0,1
,,,,,,,,
 تر ,^oتر ,0,1,1,0,0,0,1
 تری ,^oتری ,0,1,1,0,0,0,1
 ترین ,^oترین ,0,1,1,0,0,0,1
,,,,,,,,
 ی ,^oی ,0,1,1,0,0,0,1
