Search,Replace,Wildcard,MatchCase,MatchWholeWord,MatchKashida,MatchDiacritics,MatchAlefHamza,CounterUp
 . ,. ,0,1,1,0,1,0,1
 .,. ,0,1,1,0,1,0,1
" ، ","، ",0,1,1,0,1,0,1
" ،","، ",0,1,1,0,1,0,1
" , ",", ",0,1,1,0,1,0,1
" ,",", ",0,1,1,0,1,0,1
 : ,: ,0,1,1,0,1,0,1
 :,: ,0,1,1,0,1,0,1
 ؛ ,؛ ,0,1,1,0,1,0,1
 ؛,؛ ,0,1,1,0,1,0,1
 ; ,; ,,1,1,0,1,0,1
 ;,; ,,1,1,0,1,0,1
 ? ,? ,0,1,1,0,1,0,1
 ?,? ,0,1,1,0,1,0,1
 ؟ ,؟ ,0,1,1,0,1,0,1
 ؟,؟ ,0,1,1,0,1,0,1
 ! ,! ,,1,1,0,1,0,1
 !,! ,,1,1,0,1,0,1
,,,,,,,,
 ( , (,0,1,1,0,1,0,1
( , (,0,1,1,0,1,0,1
 ) ,) ,0,1,1,0,1,0,1
 ),) ,0,1,1,0,1,0,1
,,,,,,,,
 « , «,0,1,1,0,1,0,1
« , «,0,1,1,0,1,0,1
 » ,» ,0,1,1,0,1,0,1
 »,» ,0,1,1,0,1,0,1
,,,,,,,,
 [ , [,0,1,1,0,1,0,1
[ , [,0,1,1,0,1,0,1
 ] ,] ,0,1,1,0,1,0,1
 ],] ,0,1,1,0,1,0,1
,,,,,,,,
 { , {,0,1,1,0,1,0,1
{ , {,0,1,1,0,1,0,1
 } ,} ,0,1,1,0,1,0,1
 },} ,0,1,1,0,1,0,1
