Search,Replace,Wildcard,MatchCase,MatchWholeWord,MatchKashida,MatchDiacritics,MatchAlefHamza,CounterUp
سپاسگذار,سپاسگزار,0,1,0,0,0,0,1
بارگزاری,بارگذاری,0,1,1,0,0,0,1
تسحیل,تسهیل,0,1,1,0,0,0,1
فروگزار,فروگذار,0,1,1,0,0,0,1
بنیان‌گزار,بنیان‌گذار,0,1,0,0,0,0,1
برحه,برهه,0,1,1,0,0,0,1
بهبوحه,بحبوحه,0,1,1,0,0,0,1
توجیح,توجیه,0,1,1,0,0,0,1
راجب به,راجع به,0,1,1,0,0,0,1
شکرگذار,شکرگزار,0,1,0,0,0,0,1
علاقمند,علاقه‌مند,0,1,0,0,0,0,1
فن‌آوری,فنّاوری,0,1,1,0,0,0,1
مذاغ,مذاق,0,1,1,0,0,0,1
مرحم,مرهم,0,1,1,0,0,0,1
مذبور,مزبور,0,1,1,0,0,0,1
موذب,معذب,0,1,1,0,0,0,1
نمازگذار,نمازگزار,0,1,0,0,0,0,1
وحله,وهله,0,1,1,0,0,0,1
خدمتگذار,خدمتگزار,0,1,0,0,0,0,1
اضهار کردن,اظهار کردن,0,1,1,0,0,0,1
حق گذار,حق گزار,0,1,1,0,0,0,1
خواب گذار,خواب گزار,0,1,1,0,0,0,1
گِله گذاری,گِله گزاری,0,1,1,0,0,0,1
واگزار,واگذار,0,1,0,0,0,0,1
بنیانگزار,بنیانگذار,0,1,0,0,0,0,1
سیاستگزار,سیاستگذار,0,1,0,0,0,0,1
پایه گزار,پایه گذار,0,1,0,0,0,0,1
سرمایه گزار,سرمایه گذار,0,1,0,0,0,0,1
بیمه گزار,بیمه گذار,0,1,0,0,0,0,1
قانون گزار,قانون گذار,0,1,0,0,0,0,1
اثرگزار,اثرگذار,0,1,1,0,0,0,1
ضاهر,ظاهر,0,1,1,0,0,0,1
تعضیم,تعظیم,0,1,1,0,0,0,1
ضریف,ظریف,0,1,1,0,0,0,1
ضرافت,ظرافت,0,1,1,0,0,0,1
ناضر,ناظر,0,1,1,0,0,0,1
ضرفیت,ظرفیت,0,1,1,0,0,0,1
مواضب,مواظب,0,1,1,0,0,0,1
تنضیف,تنظیف,0,1,1,0,0,0,1
مضنون,مظنون,0,1,1,0,0,0,1
نضیف,نظیف,0,1,1,0,0,0,1
خورده مهارت,خرده‌مهارت,0,1,1,0,0,0,1
پول خورد,پول خرد,0,1,1,0,0,0,1
خورده‌فروشی,خرده‌فروشی,0,1,1,0,0,0,1
معزل,معضل,0,1,1,0,0,0,1
اظطراب,اضطراب,0,1,1,0,0,0,1
اصطحکاک ,اصطکاک,0,1,1,0,0,0,1
اعتلاف,ائتلاف,0,1,1,0,0,0,1
اِسرار,اِصرار,0,1,1,0,0,0,1
اَصرار ,اَسرار ,0,1,1,0,0,0,1
ازدهام,ازدحام,0,1,1,0,0,0,1
فاصله‌گزاری,فاصله‌گذاری,0,1,1,0,0,0,1
بمب‌گزاری,بمب‌گذاری,0,1,1,0,0,0,1
رمز‌گزاری,رمز‌گذاری,0,1,1,0,0,0,1
واگزاری,واگذاری,0,1,1,0,0,0,1
تاثیرگزاری,تاثیرگذاری,0,1,1,0,0,0,1
تاج‌گزاری,تاج‌گذاری,0,1,1,0,0,0,1
بارگزاری,بارگذاری,0,1,1,0,0,0,1
خبرگذاری,خبرگزاری,0,1,1,0,0,0,1
برگذاری,برگزاری,0,1,1,0,0,0,1
باطلاق,باتلاق,0,1,1,0,0,0,1
ذغال,زغال,0,1,1,0,0,0,1
الویت,اولویت,0,1,1,0,0,0,1
انظباط,انضباط,0,1,1,0,0,0,1
استثناً,استثنائاً,0,1,1,0,0,0,1
طپانچه,تپانچه,0,1,1,0,0,0,1
گفتگو,گفت‌وگو,0,1,1,0,0,0,1
سئوال,سؤال,0,1,1,0,0,0,1
مسأله,مسئله,0,1,1,0,0,0,1
فارق‌التحصیل,فارغ‌التحصیل,0,1,1,0,0,0,1
زوذنقه,ذوزنقه,0,1,1,0,0,0,1
غورباقه,قورباغه,0,1,1,0,0,0,1
بهبوحه,بحبوحه,0,1,1,0,0,0,1
فلاکس,فلاسک,0,1,1,0,0,0,1
به سزا,بسزا,0,1,1,0,0,0,1
قدقن,قدغن,0,1,1,0,0,0,1
ذق ذق,زق زق,0,1,1,0,0,0,1
هزم غذا,هضم غذا,0,1,1,0,0,0,1
مزمون,مضمون,0,1,1,0,0,0,1
زمیمه,ضمیمه,0,1,1,0,0,0,1
انحتاط,انحطاط,0,1,1,0,0,0,1
احتزاز,اهتزاز,0,1,1,0,0,0,1
صِمَت,سِمَت,0,1,1,0,0,0,1
مضحرف,مزخرف,0,1,1,0,0,0,1
مسدع اوقات,مصدع اوقات,0,1,1,0,0,0,1
ذیق وقت,ضیق وقت,0,1,1,0,0,0,1
الاف,علاف,0,1,1,0,0,0,1
تسفیه,تصفیه,0,1,1,0,0,0,1
تصویه,تسویه,0,1,1,0,0,0,1
معزل,معضل,0,1,1,0,0,0,1
صَلب,سَلب,0,1,1,0,0,0,1
سُلب,صُلب,0,1,1,0,0,0,1
لب‌تاپ,لپ‌تاپ,0,1,1,0,0,0,1
مکس,مکث,0,1,1,0,0,0,1
معطرف,معترف,0,1,1,0,0,0,1
تحدید,تهدید,0,1,1,0,0,0,1
ارجهیت,ارجحیت,0,1,1,0,0,0,1
حازق,حاذق,0,1,1,0,0,0,1
فلبداحه,فی البداهه,0,1,1,0,0,0,1
