Search,Replace,Wildcard,MatchCase,MatchWholeWord,MatchKashida,MatchDiacritics,MatchAlefHamza,CounterUp
تکنولوژی,فناوری,0,1,1,0,0,1,1
ترمینال,پایانه,0,1,1,0,0,1,1
پلتفرم,سکو,0,1,1,0,0,1,1
کپی,رونوشت,0,1,1,0,0,1,1
فاکس,دورنگار,0,1,1,0,0,1,1
بولتن,خبرنامه,0,1,1,0,0,1,1
آکادمیک,دانشگاهی,0,1,1,0,0,1,1
اسپری,افشانه,0,1,1,0,0,1,1
آرشیو,بایگانی,0,1,1,0,0,1,1
سندیکا,اتحادیه,0,1,1,0,0,1,1
اتوبان,بزرگراه,0,1,1,0,0,1,1
ارگان,سازمان,0,1,1,0,0,1,1
دوپینگ,زورافزایی,0,1,1,0,0,1,1
برند,ویژند,0,1,1,0,0,1,1
سوبسید,یارانه,0,1,1,0,0,1,1
کامپیوتر,رایانه,0,1,1,0,0,1,1
گارانتی,ضمانت,0,1,1,0,0,1,1
کپی رایت,حق نشر,0,1,1,0,0,1,1
دمپینگ,بازار شکنی,0,1,1,0,0,1,1
انیمیشن,پویانمایی,0,1,1,0,0,1,1
ایمیل,پیام نگار,0,1,1,0,0,1,1
لوکس,تجملی,0,1,1,0,0,1,1
بیلان,ترازنامه,0,1,1,0,0,1,1
اتوماتیک,خودکار,0,1,1,0,0,1,1
کمپوت,خوشاب,0,1,1,0,0,1,1
بارکد,رمزینه,0,1,1,0,0,1,1
تئوری,نظریه,0,1,1,0,0,1,1
پیرکس,نسوز,0,1,1,0,0,1,1
تئوریسین,نظریه پرداز,0,1,1,0,0,1,1
آکادمی,فرهنگستان,0,1,1,0,0,1,1
تکنیک,فن,0,1,1,0,0,1,1
اپراتور,کاربر,0,1,1,0,0,1,1
اپوزیسیون,گروه مخالف,0,1,1,0,0,1,1
اتیکت,بها نما,0,1,1,0,0,1,1
ادیت,ویرایش,0,1,1,0,0,1,1
ارگانیزاسیون,سازمان,0,1,1,0,0,1,1
اسانس,عطر مایه,0,1,1,0,0,1,1
استامپ,جوهر گین,0,1,1,0,0,1,1
اسکورت ,همروان ,0,1,1,0,0,1,1
اف اف ,در باز کن ,0,1,1,0,0,1,1
اکیپ ,گروه مجهز,0,1,1,0,0,1,1
اندیکاتور ,نامه نما ,0,1,1,0,0,1,1
انستیتو ,موسسه ,0,1,1,0,0,1,1
اولتیماتوم ,اتمام حجت,0,1,1,0,0,1,1
اولتیماتوم ,زنهاره,0,1,1,0,0,1,1
ایندکس,نمایه,0,1,1,0,0,1,1
آباژور ,نورتاب ,0,1,1,0,0,1,1
آبونه ,مشترک,0,1,1,0,0,1,1
آپارتمان ,کاشانه ,0,1,1,0,0,1,1
آتلیه,کارگاه ,0,1,1,0,0,1,1
آرم ,نشانه ,0,1,1,0,0,1,1
آسانسور ,آسان بر,0,1,1,0,0,1,1
آسانسور ,بالابر,0,1,1,0,0,1,1
آنتیک,عتیقه,0,1,1,0,0,1,1
آیفون,آوابر,0,1,1,0,0,1,1
بادی گارد,جان پاس,0,1,1,0,0,1,1
بارم ,شمارک,0,1,1,0,0,1,1
بیوگرافی ,زندگینامه,0,1,1,0,0,1,1
بیوگرافی ,سرگذشت,0,1,1,0,0,1,1
بیوگرافی ,شرح حال,0,1,1,0,0,1,1
پاراگراف ,بند ,0,1,1,0,0,1,1
پارلمان ,مجلس ,0,1,1,0,0,1,1
پرسنل ,کارکنان ,0,1,1,0,0,1,1
پروژکتور ,فراتاب,0,1,1,0,0,1,1
پروژکتور ,نورافکن,0,1,1,0,0,1,1
پلمپ ,مهر و موم,0,1,1,0,0,1,1
پلی کپی,دستگاه تکثیر,0,1,1,0,0,1,1
پمپاژ ,تلمبه زنی,0,1,1,0,0,1,1
پورسانت,درصد,0,1,1,0,0,1,1
تراس ,بهارخواب,0,1,1,0,0,1,1
تست,آزمون,0,1,1,0,0,1,1
تکنسین,فن ورز,0,1,1,0,0,1,1
تله تکست,پیام نما,0,1,1,0,0,1,1
تیراژ,شمارگان,0,1,1,0,0,1,1
تیراژ,شماره,0,1,1,0,0,1,1
تئاتر,نمایش,0,1,1,0,0,1,1
جکوزی,آبزن,0,1,1,0,0,1,1
حق التحقیق ,پژوهانه ,0,1,1,0,0,1,1
حق التدریس,آموزانه ,0,1,1,0,0,1,1
دسپینگ ,بازار شکنی,0,1,1,0,0,1,1
