Search,Replace,Wildcard,MatchCase,MatchWholeWord,MatchKashida,MatchDiacritics,MatchAlefHamza,CounterUp
عموما,عموماً,0,1,1,0,1,0,1
معمولا,معمولاً,0,1,1,0,1,0,1
غالبا,غالباً,0,1,1,0,1,0,1
لطفا,لطفاً,0,1,1,0,1,0,1
حتما,حتماً,0,1,1,0,1,0,1
صرفا,صرفاً,0,1,1,0,1,0,1
اولا,اولاً,0,1,1,0,1,0,1
دوما,دوماً,0,1,1,0,1,0,1
حقیقتا,حقیقتاً,0,1,1,0,1,0,1
دائما,دائماً,0,1,1,0,1,0,1
کاملا,کاملاً,0,1,1,0,1,0,1
اتفاقا,اتفاقاً,0,1,1,0,1,0,1
دقیقا,دقیقاً,0,1,1,0,1,0,1
مجددا,مجدداً,0,1,1,0,1,0,1
منحصرا,منحصراً,0,1,1,0,1,0,1
نسبتا,نسبتاً,0,1,1,0,1,0,1
قبلا,قبلاً,0,1,1,0,1,0,1
جدیدا,جدیداً,0,1,1,0,1,0,1
حدودا,حدوداً,0,1,1,0,1,0,1
اصولا,اصولاً,0,1,1,0,1,0,1
ثالثا,ثالثاً,0,1,1,0,1,0,1
ثانیا,ثانیاً,0,1,1,0,1,0,1
قانونا,قانوناً,0,1,1,0,1,0,1
ابدا,ابداً,0,1,1,0,1,0,1
اصلا,اصلاً,0,1,1,0,1,0,1
مثلا,مثلاً,0,1,1,0,1,0,1
شرعا,شرعاً,0,1,1,0,1,0,1
یقینا,یقیناً,0,1,1,0,1,0,1
مخصوصا,مخصوصاً,0,1,1,0,1,0,1
اکثرا,اکثراً,0,1,1,0,1,0,1
اخیرا,اخیراً,0,1,1,0,1,0,1
عرفا,عرفاً,0,1,1,0,1,0,1
ابدن,ابداً,0,1,1,0,1,0,1
اتفاق,اتّفاقاً,0,1,1,0,1,0,1
اتفاقن,اتفاقاً,0,1,1,0,1,0,1
اجالتاً,اجالتاً,0,1,1,0,1,0,1
اجالتن,اجالتاً,0,1,1,0,1,0,1
اجبارا,اجباراً,0,1,1,0,1,0,1
